Date,Order_dir,Quantity,Price
2023/01/19,SELL,1,589
2023/01/20,SELL,1,592
2023/01/23,SELL,1,600
2023/01/27,BUY,2,539
2023/01/30,SELL,1,538
2023/02/01,BUY,1,527
2023/02/03,SELL,1,544
2023/02/06,SELL,1,545
2023/05/11,BUY,1,573
2023/05/23,BUY,1,581
2023/05/24,BUY,1,582
2023/05/25,BUY,1,581
2023/06/23,SELL,1,554
2023/06/26,SELL,1,557
2023/07/26,BUY,1,615
2023/07/31,BUY,1,620
2023/09/29,SELL,1,598
2023/10/03,SELL,1,602
2023/10/23,SELL,1,552
2023/11/09,BUY,1,578
2023/11/28,BUY,1,564
2023/11/29,BUY,1,568
